date,hours,deepsleep,lenadjust,noise,cycles,snore,cycle_duration
2019-10-15,8.175333333333333,0.5484865226666666,-17.2,0.018140325000000002,10.0,226.0,0.8175333333333332
2019-10-16,8.124666666666666,0.544571596,-16.866666666666667,0.017991850466666667,9.666666666666666,232.0,0.8404827586206897
2019-10-17,8.321333333333333,0.5407641593333333,-16.6,0.018883267066666664,9.733333333333333,216.0,0.8549315068493152
2019-10-18,8.118666666666666,0.552069046,-15.6,0.016921998400000002,9.533333333333333,210.0,0.8516083916083915
2019-10-19,8.207333333333333,0.5504182,-14.466666666666667,0.016566308866666667,9.466666666666667,202.0,0.8669718309859155
2019-10-20,8.302,0.5370926106666667,-13.8,0.015912040333333332,9.8,202.0,0.8471428571428571
2019-10-21,8.142,0.5503351806666666,-13.133333333333333,0.014811980933333333,9.466666666666667,206.0,0.8600704225352112
2019-10-22,8.290666666666665,0.5478347206666666,-12.533333333333333,0.014723133466666666,9.666666666666666,206.0,0.857655172413793
2019-10-23,8.424,0.557875324,-12.266666666666667,0.014737774333333334,9.8,206.0,0.8595918367346937
2019-10-24,8.560666666666666,0.5360117879999999,-9.733333333333333,0.014614174333333334,9.466666666666667,88.0,0.9042957746478872
2019-10-25,8.443333333333333,0.5198153413333333,-8.333333333333334,0.013894927333333333,9.266666666666667,118.0,0.9111510791366906
2019-10-26,8.024666666666667,0.522386876,-6.466666666666667,0.011413385066666667,8.733333333333333,74.0,0.9188549618320612
2019-10-27,8.090666666666667,0.5183406506666667,-6.8,0.012213801533333336,8.466666666666667,76.0,0.9555905511811025
2019-10-28,7.763999999999999,0.5192150006666666,-6.8,0.011776888066666666,8.133333333333333,68.0,0.9545901639344262
2019-10-29,7.787999999999999,0.5172318646666667,-9.133333333333333,0.011475611666666665,8.0,68.0,0.9734999999999999
2019-10-30,7.860666666666666,0.5004797273333333,-9.0,0.011665974133333333,7.666666666666667,68.0,1.0253043478260868
2019-10-31,8.406,0.490328562,-9.4,0.011526990533333333,8.266666666666667,80.0,1.0168548387096774
2019-01-11,7.846666666666666,0.47437243,-9.0,0.010722499466666667,8.2,224.0,0.9569105691056911
2019-02-11,8.076666666666666,0.444046088,-9.066666666666666,0.011083719466666666,8.266666666666667,368.0,0.9770161290322579
2019-03-11,8.190666666666667,0.43940019066666663,-9.066666666666666,0.011171037466666667,8.6,354.0,0.9524031007751939
2019-04-11,8.1,0.44186819066666666,-9.8,0.0109166416,8.266666666666667,366.0,0.9798387096774193
2019-05-11,8.1,0.44191278333333334,-9.666666666666666,0.010886949066666667,8.333333333333334,360.0,0.9719999999999999
2019-06-11,8.540666666666668,0.439303199,-10.4,0.011335829266666668,8.933333333333334,364.0,0.9560447761194032
2019-07-11,8.121333333333332,0.43878640566666666,-10.0,0.011477462666666667,8.533333333333333,364.0,0.95171875
2019-08-11,7.6946666666666665,0.4625411976666667,-9.933333333333334,0.011363476733333332,8.266666666666667,358.0,0.9308064516129031
2019-09-11,7.506666666666666,0.4710973483333333,-10.0,0.011399013466666667,8.2,330.0,0.9154471544715447
2019-10-11,8.032666666666666,0.4708859563333333,-10.0,0.011606665866666668,8.733333333333333,418.0,0.9197709923664122
2019-11-11,8.210666666666667,0.4442980563333333,-9.733333333333333,0.011749051333333335,8.4,416.0,0.9774603174603174
2019-12-11,8.278,0.44485634766666665,-9.666666666666666,0.011148165733333333,8.666666666666666,460.0,0.9551538461538462
2019-11-13,8.166,0.434841305,-7.4,0.0117594958,8.666666666666666,462.0,0.9422307692307693
2019-11-14,8.658666666666667,0.4212610576666666,-7.333333333333333,0.0119680056,8.466666666666667,490.0,1.0226771653543307
2019-11-15,8.113333333333333,0.42533829766666664,-8.133333333333333,0.0121954928,7.933333333333334,472.0,1.022689075630252
2019-11-16,8.358666666666666,0.43631178633333334,-8.8,0.012585666133333335,7.8,344.0,1.0716239316239315
2019-11-17,8.315999999999999,0.4365100416666667,-8.8,0.013036308066666667,7.733333333333333,206.0,1.0753448275862068
2019-11-18,8.382666666666667,0.436409017,-8.866666666666667,0.014245223333333333,7.666666666666667,210.0,1.093391304347826
2019-11-19,8.295333333333334,0.432888613,-8.133333333333333,0.0145637924,7.666666666666667,240.0,1.082
2019-11-20,8.480666666666666,0.41432486166666666,-7.8,0.015206226333333333,7.6,254.0,1.115877192982456
2019-11-21,8.088000000000001,0.40473877933333335,-7.0,0.016073523666666666,7.066666666666666,290.0,1.1445283018867927
2019-11-22,8.568000000000001,0.40054590599999995,-7.333333333333333,0.0158104556,7.066666666666666,320.0,1.2124528301886794
2019-11-23,8.850666666666665,0.38305181466666666,-9.133333333333333,0.015785718,7.466666666666667,420.0,1.1853571428571426
2019-11-25,8.978,0.4049651946666667,-9.066666666666666,0.016511252866666666,8.0,424.0,1.12225
2019-11-26,8.767333333333333,0.401252394,-9.733333333333333,0.0167382204,7.866666666666666,340.0,1.1144915254237289
2019-11-27,8.584,0.4397643426666667,-10.466666666666667,0.019169726066666667,8.4,340.0,1.0219047619047619
2019-11-28,8.806666666666667,0.44152258466666666,-10.8,0.01986176173333333,8.2,304.0,1.0739837398373984
2019-11-29,8.676,0.45220140999999997,-11.2,0.02034183966666667,8.2,302.0,1.058048780487805
2019-11-30,8.256,0.47022610133333337,-11.533333333333333,0.020622464599999998,8.6,274.0,0.9600000000000001
2019-01-12,8.281333333333333,0.47630002666666665,-10.333333333333334,0.020610406933333335,8.6,278.0,0.9629457364341085
2019-02-12,8.442666666666666,0.47480738666666666,-10.266666666666667,0.020403806400000002,8.8,266.0,0.9593939393939392
2019-03-12,8.446666666666667,0.47893109800000006,-10.533333333333333,0.020331752533333337,8.933333333333334,260.0,0.9455223880597016
2019-04-12,8.478666666666667,0.47795904133333333,-11.733333333333333,0.020270020800000003,9.066666666666666,256.0,0.9351470588235296
2019-05-12,8.577333333333334,0.49775911533333334,-11.866666666666667,0.02063577373333333,9.4,214.0,0.912482269503546
2019-06-12,8.377333333333333,0.506021864,-11.866666666666667,0.020086211933333334,9.4,202.0,0.8912056737588652
2019-07-12,8.325999999999999,0.512211524,-11.466666666666667,0.01877427753333333,9.333333333333334,204.0,0.8920714285714284
2019-08-12,8.213333333333333,0.5136266173333334,-13.066666666666666,0.019124586933333337,9.8,194.0,0.838095238095238
2019-09-12,8.21,0.5169792933333334,-11.333333333333334,0.01934382153333333,9.533333333333333,140.0,0.8611888111888113
